Id,spx-1950-2018,len,datetime,open,high,low,close,volume,openinterest,MeanReversionStrategy,len,datetime,SimpleMovingAverage,len,sma,StdDev,len,stddev,Broker,len,cash,value,BuySell,len,buy,sell,Trades,len,pnlplus,pnlminus,MomentumStrategy,len,datetime,MACD,len,macd,signal,CrossOver,len,crossover,CrossDown,len,cross,ATR,len,atr,SMA,len,sma,Broker,len,cash,value,BuySell,len,buy,sell,Trades,len,pnlplus,pnlminus
1,spx-1950-2018,1,2009-01-02 23:59:59.999989,902.99,934.73,899.35,931.8,4048270000.0,0.0,MeanReversionStrategy,1,733409.9999999999,SimpleMovingAverage,1,,StdDev,1,,Broker,1,100000.0,100000.0,BuySell,1,,,Trades,1,,,MomentumStrategy,0,,MACD,0,,,CrossOver,0,,CrossDown,0,,ATR,0,,SMA,0,,Broker,0,,,BuySell,0,,,Trades,0,,
2,spx-1950-2018,1,2009-01-02 23:59:59.999989,902.99,934.73,899.35,931.8,4048270000.0,0.0,MeanReversionStrategy,1,733409.9999999999,SimpleMovingAverage,1,,StdDev,1,,Broker,1,100000.0,100000.0,BuySell,1,,,Trades,1,,,MomentumStrategy,1,733409.9999999999,MACD,1,,,CrossOver,1,,CrossDown,1,,ATR,1,,SMA,1,,Broker,1,100000.0,100000.0,BuySell,1,,,Trades,1,,
3,spx-1950-2018,2,2009-01-05 23:59:59.999989,929.17,936.63,919.53,927.45,5413910000.0,0.0,MeanReversionStrategy,2,733412.9999999999,SimpleMovingAverage,2,,StdDev,2,,Broker,2,100000.0,100000.0,BuySell,2,,,Trades,2,,,MomentumStrategy,1,733409.9999999999,MACD,1,,,CrossOver,1,,CrossDown,1,,ATR,1,,SMA,1,,Broker,1,100000.0,100000.0,BuySell,1,,,Trades,1,,
4,spx-1950-2018,2,2009-01-05 23:59:59.999989,929.17,936.63,919.53,927.45,5413910000.0,0.0,MeanReversionStrategy,2,733412.9999999999,SimpleMovingAverage,2,,StdDev,2,,Broker,2,100000.0,100000.0,BuySell,2,,,Trades,2,,,MomentumStrategy,2,733412.9999999999,MACD,2,,,CrossOver,2,,CrossDown,2,,ATR,2,,SMA,2,,Broker,2,100000.0,100000.0,BuySell,2,,,Trades,2,,
5,spx-1950-2018,3,2009-01-06 23:59:59.999989,931.17,943.85,927.28,934.7,5392620000.0,0.0,MeanReversionStrategy,3,733413.9999999999,SimpleMovingAverage,3,,StdDev,3,,Broker,3,100000.0,100000.0,BuySell,3,,,Trades,3,,,MomentumStrategy,2,733412.9999999999,MACD,2,,,CrossOver,2,,CrossDown,2,,ATR,2,,SMA,2,,Broker,2,100000.0,100000.0,BuySell,2,,,Trades,2,,
6,spx-1950-2018,3,2009-01-06 23:59:59.999989,931.17,943.85,927.28,934.7,5392620000.0,0.0,MeanReversionStrategy,3,733413.9999999999,SimpleMovingAverage,3,,StdDev,3,,Broker,3,100000.0,100000.0,BuySell,3,,,Trades,3,,,MomentumStrategy,3,733413.9999999999,MACD,3,,,CrossOver,3,,CrossDown,3,,ATR,3,,SMA,3,,Broker,3,100000.0,100000.0,BuySell,3,,,Trades,3,,
7,spx-1950-2018,4,2009-01-07 23:59:59.999989,927.45,927.45,902.37,906.65,4704940000.0,0.0,MeanReversionStrategy,4,733414.9999999999,SimpleMovingAverage,4,,StdDev,4,,Broker,4,100000.0,100000.0,BuySell,4,,,Trades,4,,,MomentumStrategy,3,733413.9999999999,MACD,3,,,CrossOver,3,,CrossDown,3,,ATR,3,,SMA,3,,Broker,3,100000.0,100000.0,BuySell,3,,,Trades,3,,
8,spx-1950-2018,4,2009-01-07 23:59:59.999989,927.45,927.45,902.37,906.65,4704940000.0,0.0,MeanReversionStrategy,4,733414.9999999999,SimpleMovingAverage,4,,StdDev,4,,Broker,4,100000.0,100000.0,BuySell,4,,,Trades,4,,,MomentumStrategy,4,733414.9999999999,MACD,4,,,CrossOver,4,,CrossDown,4,,ATR,4,,SMA,4,,Broker,4,100000.0,100000.0,BuySell,4,,,Trades,4,,
9,spx-1950-2018,5,2009-01-08 23:59:59.999989,905.73,910.0,896.81,909.73,4991550000.0,0.0,MeanReversionStrategy,5,733415.9999999999,SimpleMovingAverage,5,,StdDev,5,,Broker,5,100000.0,100000.0,BuySell,5,,,Trades,5,,,MomentumStrategy,4,733414.9999999999,MACD,4,,,CrossOver,4,,CrossDown,4,,ATR,4,,SMA,4,,Broker,4,100000.0,100000.0,BuySell,4,,,Trades,4,,
10,spx-1950-2018,5,2009-01-08 23:59:59.999989,905.73,910.0,896.81,909.73,4991550000.0,0.0,MeanReversionStrategy,5,733415.9999999999,SimpleMovingAverage,5,,StdDev,5,,Broker,5,100000.0,100000.0,BuySell,5,,,Trades,5,,,MomentumStrategy,5,733415.9999999999,MACD,5,,,CrossOver,5,,CrossDown,5,,ATR,5,,SMA,5,,Broker,5,100000.0,100000.0,BuySell,5,,,Trades,5,,
11,spx-1950-2018,6,2009-01-09 23:59:59.999989,909.91,911.93,888.31,890.35,4716500000.0,0.0,MeanReversionStrategy,6,733416.9999999999,SimpleMovingAverage,6,,StdDev,6,,Broker,6,100000.0,100000.0,BuySell,6,,,Trades,6,,,MomentumStrategy,5,733415.9999999999,MACD,5,,,CrossOver,5,,CrossDown,5,,ATR,5,,SMA,5,,Broker,5,100000.0,100000.0,BuySell,5,,,Trades,5,,
12,spx-1950-2018,6,2009-01-09 23:59:59.999989,909.91,911.93,888.31,890.35,4716500000.0,0.0,MeanReversionStrategy,6,733416.9999999999,SimpleMovingAverage,6,,StdDev,6,,Broker,6,100000.0,100000.0,BuySell,6,,,Trades,6,,,MomentumStrategy,6,733416.9999999999,MACD,6,,,CrossOver,6,,CrossDown,6,,ATR,6,,SMA,6,,Broker,6,100000.0,100000.0,BuySell,6,,,Trades,6,,
13,spx-1950-2018,7,2009-01-12 23:59:59.999989,890.4,890.4,864.32,870.26,4725050000.0,0.0,MeanReversionStrategy,7,733419.9999999999,SimpleMovingAverage,7,,StdDev,7,,Broker,7,100000.0,100000.0,BuySell,7,,,Trades,7,,,MomentumStrategy,6,733416.9999999999,MACD,6,,,CrossOver,6,,CrossDown,6,,ATR,6,,SMA,6,,Broker,6,100000.0,100000.0,BuySell,6,,,Trades,6,,
14,spx-1950-2018,7,2009-01-12 23:59:59.999989,890.4,890.4,864.32,870.26,4725050000.0,0.0,MeanReversionStrategy,7,733419.9999999999,SimpleMovingAverage,7,,StdDev,7,,Broker,7,100000.0,100000.0,BuySell,7,,,Trades,7,,,MomentumStrategy,7,733419.9999999999,MACD,7,,,CrossOver,7,,CrossDown,7,,ATR,7,,SMA,7,,Broker,7,100000.0,100000.0,BuySell,7,,,Trades,7,,
15,spx-1950-2018,8,2009-01-13 23:59:59.999989,869.79,877.02,862.02,871.79,5567460000.0,0.0,MeanReversionStrategy,8,733420.9999999999,SimpleMovingAverage,8,,StdDev,8,,Broker,8,100000.0,100000.0,BuySell,8,,,Trades,8,,,MomentumStrategy,7,733419.9999999999,MACD,7,,,CrossOver,7,,CrossDown,7,,ATR,7,,SMA,7,,Broker,7,100000.0,100000.0,BuySell,7,,,Trades,7,,
16,spx-1950-2018,8,2009-01-13 23:59:59.999989,869.79,877.02,862.02,871.79,5567460000.0,0.0,MeanReversionStrategy,8,733420.9999999999,SimpleMovingAverage,8,,StdDev,8,,Broker,8,100000.0,100000.0,BuySell,8,,,Trades,8,,,MomentumStrategy,8,733420.9999999999,MACD,8,,,CrossOver,8,,CrossDown,8,,ATR,8,,SMA,8,,Broker,8,100000.0,100000.0,BuySell,8,,,Trades,8,,
17,spx-1950-2018,9,2009-01-14 23:59:59.999989,867.28,867.28,836.93,842.62,5407880000.0,0.0,MeanReversionStrategy,9,733421.9999999999,SimpleMovingAverage,9,,StdDev,9,,Broker,9,100000.0,100000.0,BuySell,9,,,Trades,9,,,MomentumStrategy,8,733420.9999999999,MACD,8,,,CrossOver,8,,CrossDown,8,,ATR,8,,SMA,8,,Broker,8,100000.0,100000.0,BuySell,8,,,Trades,8,,
18,spx-1950-2018,9,2009-01-14 23:59:59.999989,867.28,867.28,836.93,842.62,5407880000.0,0.0,MeanReversionStrategy,9,733421.9999999999,SimpleMovingAverage,9,,StdDev,9,,Broker,9,100000.0,100000.0,BuySell,9,,,Trades,9,,,MomentumStrategy,9,733421.9999999999,MACD,9,,,CrossOver,9,,CrossDown,9,,ATR,9,,SMA,9,,Broker,9,100000.0,100000.0,BuySell,9,,,Trades,9,,
19,spx-1950-2018,10,2009-01-15 23:59:59.999989,841.99,851.59,817.04,843.74,7807350000.0,0.0,MeanReversionStrategy,10,733422.9999999999,SimpleMovingAverage,10,,StdDev,10,,Broker,10,100000.0,100000.0,BuySell,10,,,Trades,10,,,MomentumStrategy,9,733421.9999999999,MACD,9,,,CrossOver,9,,CrossDown,9,,ATR,9,,SMA,9,,Broker,9,100000.0,100000.0,BuySell,9,,,Trades,9,,
20,spx-1950-2018,10,2009-01-15 23:59:59.999989,841.99,851.59,817.04,843.74,7807350000.0,0.0,MeanReversionStrategy,10,733422.9999999999,SimpleMovingAverage,10,,StdDev,10,,Broker,10,100000.0,100000.0,BuySell,10,,,Trades,10,,,MomentumStrategy,10,733422.9999999999,MACD,10,,,CrossOver,10,,CrossDown,10,,ATR,10,,SMA,10,,Broker,10,100000.0,100000.0,BuySell,10,,,Trades,10,,
21,spx-1950-2018,11,2009-01-16 23:59:59.999989,844.45,858.13,830.66,850.12,6786040000.0,0.0,MeanReversionStrategy,11,733423.9999999999,SimpleMovingAverage,11,,StdDev,11,,Broker,11,100000.0,100000.0,BuySell,11,,,Trades,11,,,MomentumStrategy,10,733422.9999999999,MACD,10,,,CrossOver,10,,CrossDown,10,,ATR,10,,SMA,10,,Broker,10,100000.0,100000.0,BuySell,10,,,Trades,10,,
22,spx-1950-2018,11,2009-01-16 23:59:59.999989,844.45,858.13,830.66,850.12,6786040000.0,0.0,MeanReversionStrategy,11,733423.9999999999,SimpleMovingAverage,11,,StdDev,11,,Broker,11,100000.0,100000.0,BuySell,11,,,Trades,11,,,MomentumStrategy,11,733423.9999999999,MACD,11,,,CrossOver,11,,CrossDown,11,,ATR,11,,SMA,11,,Broker,11,100000.0,100000.0,BuySell,11,,,Trades,11,,
23,spx-1950-2018,12,2009-01-20 23:59:59.999989,849.64,849.64,804.47,805.22,6375230000.0,0.0,MeanReversionStrategy,12,733427.9999999999,SimpleMovingAverage,12,,StdDev,12,,Broker,12,100000.0,100000.0,BuySell,12,,,Trades,12,,,MomentumStrategy,11,733423.9999999999,MACD,11,,,CrossOver,11,,CrossDown,11,,ATR,11,,SMA,11,,Broker,11,100000.0,100000.0,BuySell,11,,,Trades,11,,
24,spx-1950-2018,12,2009-01-20 23:59:59.999989,849.64,849.64,804.47,805.22,6375230000.0,0.0,MeanReversionStrategy,12,733427.9999999999,SimpleMovingAverage,12,,StdDev,12,,Broker,12,100000.0,100000.0,BuySell,12,,,Trades,12,,,MomentumStrategy,12,733427.9999999999,MACD,12,,,CrossOver,12,,CrossDown,12,,ATR,12,,SMA,12,,Broker,12,100000.0,100000.0,BuySell,12,,,Trades,12,,
25,spx-1950-2018,13,2009-01-21 23:59:59.999989,806.77,841.72,804.3,840.24,6467830000.0,0.0,MeanReversionStrategy,13,733428.9999999999,SimpleMovingAverage,13,,StdDev,13,,Broker,13,100000.0,100000.0,BuySell,13,,,Trades,13,,,MomentumStrategy,12,733427.9999999999,MACD,12,,,CrossOver,12,,CrossDown,12,,ATR,12,,SMA,12,,Broker,12,100000.0,100000.0,BuySell,12,,,Trades,12,,
26,spx-1950-2018,13,2009-01-21 23:59:59.999989,806.77,841.72,804.3,840.24,6467830000.0,0.0,MeanReversionStrategy,13,733428.9999999999,SimpleMovingAverage,13,,StdDev,13,,Broker,13,100000.0,100000.0,BuySell,13,,,Trades,13,,,MomentumStrategy,13,733428.9999999999,MACD,13,,,CrossOver,13,,CrossDown,13,,ATR,13,,SMA,13,,Broker,13,100000.0,100000.0,BuySell,13,,,Trades,13,,
27,spx-1950-2018,14,2009-01-22 23:59:59.999989,839.74,839.74,811.29,827.5,5843830000.0,0.0,MeanReversionStrategy,14,733429.9999999999,SimpleMovingAverage,14,,StdDev,14,,Broker,14,100000.0,100000.0,BuySell,14,,,Trades,14,,,MomentumStrategy,13,733428.9999999999,MACD,13,,,CrossOver,13,,CrossDown,13,,ATR,13,,SMA,13,,Broker,13,100000.0,100000.0,BuySell,13,,,Trades,13,,
28,spx-1950-2018,14,2009-01-22 23:59:59.999989,839.74,839.74,811.29,827.5,5843830000.0,0.0,MeanReversionStrategy,14,733429.9999999999,SimpleMovingAverage,14,,StdDev,14,,Broker,14,100000.0,100000.0,BuySell,14,,,Trades,14,,,MomentumStrategy,14,733429.9999999999,MACD,14,,,CrossOver,14,,CrossDown,14,,ATR,14,,SMA,14,,Broker,14,100000.0,100000.0,BuySell,14,,,Trades,14,,
29,spx-1950-2018,15,2009-01-23 23:59:59.999989,822.16,838.61,806.07,831.95,5832160000.0,0.0,MeanReversionStrategy,15,733430.9999999999,SimpleMovingAverage,15,872.2746666666667,StdDev,15,40.610290463816014,Broker,15,100000.0,100000.0,BuySell,15,,,Trades,15,,,MomentumStrategy,14,733429.9999999999,MACD,14,,,CrossOver,14,,CrossDown,14,,ATR,14,,SMA,14,,Broker,14,100000.0,100000.0,BuySell,14,,,Trades,14,,
30,spx-1950-2018,15,2009-01-23 23:59:59.999989,822.16,838.61,806.07,831.95,5832160000.0,0.0,MeanReversionStrategy,15,733430.9999999999,SimpleMovingAverage,15,872.2746666666667,StdDev,15,40.610290463816014,Broker,15,100000.0,100000.0,BuySell,15,,,Trades,15,,,MomentumStrategy,15,733430.9999999999,MACD,15,,,CrossOver,15,,CrossDown,15,,ATR,15,27.523571428571447,SMA,15,,Broker,15,100000.0,100000.0,BuySell,15,,,Trades,15,,
31,spx-1950-2018,16,2009-01-26 23:59:59.999989,832.5,852.53,827.69,836.57,6039940000.0,0.0,MeanReversionStrategy,16,733433.9999999999,SimpleMovingAverage,16,865.9259999999999,StdDev,16,38.179322291875735,Broker,16,100000.0,100000.0,BuySell,16,,,Trades,16,,,MomentumStrategy,15,733430.9999999999,MACD,15,,,CrossOver,15,,CrossDown,15,,ATR,15,27.523571428571447,SMA,15,,Broker,15,100000.0,100000.0,BuySell,15,,,Trades,15,,
32,spx-1950-2018,16,2009-01-26 23:59:59.999989,832.5,852.53,827.69,836.57,6039940000.0,0.0,MeanReversionStrategy,16,733433.9999999999,SimpleMovingAverage,16,865.9259999999999,StdDev,16,38.179322291875735,Broker,16,100000.0,100000.0,BuySell,16,,,Trades,16,,,MomentumStrategy,16,733433.9999999999,MACD,16,,,CrossOver,16,,CrossDown,16,,ATR,16,27.331887755102052,SMA,16,,Broker,16,100000.0,100000.0,BuySell,16,,,Trades,16,,
33,spx-1950-2018,17,2009-01-27 23:59:59.999989,837.3,850.45,835.4,845.71,5353260000.0,0.0,MeanReversionStrategy,17,733434.9999999999,SimpleMovingAverage,17,860.4766666666667,StdDev,17,34.682334920757846,Broker,17,100000.0,100000.0,BuySell,17,,,Trades,17,,,MomentumStrategy,16,733433.9999999999,MACD,16,,,CrossOver,16,,CrossDown,16,,ATR,16,27.331887755102052,SMA,16,,Broker,16,100000.0,100000.0,BuySell,16,,,Trades,16,,
